 to your browser,vào trình duyệt của bạn,
"""Company History""","""Lịch sử công ty""",
"""Parent"" signifies the parent table in which this row must be added","""Gốc"" biểu thị một bảng gốc nơi mà dãy này phải được thêm vào",
"""Team Members"" or ""Management""","""Các Thành Viên Nhóm"" hoặc  ""Ban Quản Lý""",
"""amended_from"" field must be present to do an amendment.",Trường &quot;đã sửa đổi&quot; phải có mặt để thực hiện sửa đổi.,
"""{0}"" is not a valid Google Sheets URL",&quot;{0}&quot; không phải là URL Google Trang tính hợp lệ,
#{0},"Profit and Loss,Báo cáo kết quả kinh doanh",
${values.doctype_name} has been added to queue for optimization,"Trial Balance,Bảng cân đối thử",
&copy; Frappe Technologies Pvt. Ltd. and contributors,"Sales Taxes and Charges,Mục thuế bán hàng",
&lt;head&gt; HTML,HTML,
'In Global Search' is not allowed for field {0} of type {1},"Quotation,Báo giá",
'In Global Search' not allowed for type {0} in row {1},"""Trong Tìm kiếm chung"" không được công nhận với loại {0} trong dãy {1}",
'In List View' is not allowed for field {0} of type {1},"Delivery Note,Phiếu giao hàng",
'In List View' not allowed for type {0} in row {1},"""Trong danh sách hiển thị"" không được công nhận với loại {0} trong hàng {1}",
'Recipients' not specified,&#39;Người nhận&#39; không được chỉ định,
'{0}' is not a valid URL,"Stock,Tồn kho",
'{0}' not allowed for type {1} in row {2},&#39;{0}&#39; không được phép đối với loại {1} trong hàng {2},
(Mandatory),(Bắt buộc),
** Failed: {0} to {1}: {2},** Thất bại: {0} đến {1}: {2},
+ Add / Remove Fields,"Leave Allocation,Phân bổ phép",
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Nháp; 1 - Đã duyệt; 2 - Đã hủy,
0 is highest,0 là cao nhất,
1 = True & 0 = False,"Payroll,Bảng lương",
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","Salary Slip,Phiếu lương",
1 Day,"Payroll Entry,Bảng tính lương",
1 Google Calendar Event synced.,1 Sự kiện Lịch Google được đồng bộ hóa.,
1 Report,1 báo cáo,
1 comment,1 bình luận,
1 day ago,"Projects,Dự án",
1 hour,"Project,Dự án",
1 hour ago,1 giờ trước,
1 minute ago,1 phút trước,
1 month ago,1 tháng trước,
1 of 2,"Task,Công việc",
1 record will be exported,1 bản ghi sẽ được xuất,
1 second ago,"CRM,Quản lý quan hệ khách hàng",
1 week ago,1 tuần trước,
1 year ago,1 năm trước,
2 hours ago,"Opportunity,Cơ hội kinh doanh",
2 months ago,"Issue,Sự cố",
2 weeks ago,"Communication,Giao tiếp",
2 years ago,"Website,Trang web",
3 minutes ago,"Blog Post,Bài viết blog",
30 minutes,"Support,Hỗ trợ",
4 hours,"Maintenance Schedule,Kế hoạch bảo trì",
