"""From Date"" can not be greater than or equal to ""To Date""","Journal Entry,Bút toán",
% Utilization (B + NB) / T,"Tax,Thuế",
% Utilization (B / T),"Tax Category,Loại thuế",
'employee_field_value' and 'timestamp' are required.,&#39;worker_field_value&#39; và &#39;dấu thời gian&#39; là bắt buộc.,
) for {0},) cho {0},
<b>Base</b> amount has not been set for the following employee(s): {0},"BOM,Định mức nguyên vật liệu",
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Ví dụ:</b> SAL- {First_name} - {date_of_birth.year} <br> Điều này sẽ tạo ra một mật khẩu như SAL-Jane-1972,
<b>Total Leaves Allocated</b> are more than the number of days in the allocation period,"Work Order,Lệnh sản xuất",
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","Currency,Tiền tệ",
A {0} exists between {1} and {2} (,{0} tồn tại trong khoảng từ {1} đến {2} (,
Abbr,Viết tắt,
Absent,Vắng mặt,
Absent Days,Ngày vắng mặt,
Academics User,Người dùng học thuật,
Accepted,Chấp nhận,
Account,Tài khoản,
Account Head,Tài khoản chính,
Account No,Tài khoản Không,
Account {0} does not belong to company: {1},Tài khoản {0} không thuộc về công ty: {1},
Accounting,Kế toán,
Accounting Details,Chi tiết hạch toán,
Accounting Dimensions,Phương diện kế toán,
Accounting Ledger,Sổ cái hạch toán,
Accounts,Tài khoản kế toán,
Accrual Journal Entry for salaries from {0} to {1},Tạp chí Accrual cho các khoản tiền lương từ {0} đến {1},
Action,thao tác,
Actions,Các thao tác,
Active,có hiệu lực,
Activities,Hoạt động,
Activity Name,Tên hoạt động,
Actual Amount,Số tiền thực tế,
Actual Cost,Giá thật,
Add to Details,Thêm vào chi tiết,
Add unused leaves from previous allocations,Thêm lá không sử dụng từ phân bổ trước,
Added to details,Đã thêm vào chi tiết,
Additional Amount,Số tiền bổ sung,
Additional PF,PF bổ sung,
Additional Salary,Mức lương bổ sung,
Additional Salary ,Lương bổ sung,
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},Mức lương bổ sung: {0} đã tồn tại cho Thành phần tiền lương: {1} cho giai đoạn {2} và {3},
Address of Organizer,Địa chỉ tổ chức,
Advance,Nâng cao,
Advance Account,Tài khoản trước,
Advance Amount,Số tiền ứng trước,
Advance Paid,Đã trả trước,
Advance Payments,Thanh toán trước,
Advances,Tạm ứng,
All,Tất cả,
All Jobs,Tất cả Jobs,
Allocate Leaves,Phân bổ lá,
Allocated Amount,Số lượng phân bổ,
Allocated Leaves,Lá được phân bổ,
Allocation,Phân bổ,
Allocation Expired!,Phân bổ hết hạn!,
Allow Encashment,Cho phép Encashment,
Allow Negative Balance,Cho phép cân đối tiêu cực,
Allow Tax Exemption,Cho phép Miễn thuế,
Allow User,Cho phép tài,
Allow Users,Cho phép người sử dụng,
Allow check-out after shift end time (in minutes),Cho phép trả phòng sau thời gian kết thúc ca (tính bằng phút),
Allow the following users to approve Leave Applications for block days.,Cho phép người sử dụng sau phê duyệt ứng dụng Để lại cho khối ngày.,
Alternating entries as IN and OUT during the same shift,Các mục nhập xen kẽ như IN và OUT trong cùng một ca,
Amended From,Sửa đổi Từ,
Amount,"Reports,Báo cáo",
Amount based on formula,Số tiền dựa trên công thức,
Annual Allocation,Phân bổ hàng năm,
Annual Salary,Mức lương hàng năm,
Any other details,Mọi chi tiết khác,
Applicable For,Đối với áp dụng,
Applicable in the case of Employee Onboarding,Áp dụng trong trường hợp giới thiệu nhân viên,
Applicant Email Address,Địa chỉ Email của người nộp đơn,
Applicant for a Job,Nộp đơn xin việc,
Applicant name,Tên ứng viên,
Application Status,Tình trạng ứng dụng,
Application period cannot be across two allocation records,Thời gian đăng ký không thể nằm trong hai bản ghi phân bổ,
Application period cannot be outside leave allocation period,Kỳ ứng dụng không thể có thời gian phân bổ nghỉ bên ngoài,
Applies to Company,Áp dụng đối với Công ty,
Apply,Ứng dụng,
Apply / Approve Leaves,Áp dụng / Phê duyệt Leaves,
Apply Now,Áp dụng ngay bây giờ,
Appointment Date,Ngày hẹn,
Appointment Letter,Thư hẹn,
Appointment Letter Template,Mẫu thư bổ nhiệm,
Appointment Letter content,Nội dung thư hẹn,
Appraisal,Thẩm định,
Appraisal Goal,Thẩm định mục tiêu,
Appraisal Template,Thẩm định mẫu,
Appraisal Template Goal,Thẩm định mẫu Mục tiêu,
Appraisal Template Title,Thẩm định Mẫu Tiêu đề,
Apprentice,Người học việc,
Approval Status,Tình trạng chính,
Approval Status must be 'Approved' or 'Rejected',"Tình trạng phê duyệt phải được ""chấp thuận"" hoặc ""từ chối""",
Approve,Tán thành,
Approved,Đã được phê duyệt,
Approver,Người Xét Duyệt,
Approvers,Người phê duyệt,
Apr,Tháng tư,
Archive,lưu trữ,
Archived,Lưu trữ,
Arrival Datetime,Thời gian đến,
As per your assigned Salary Structure you cannot apply for benefits,"Theo Cơ cấu tiền lương được chỉ định của bạn, bạn không thể nộp đơn xin trợ cấp",
Asset Name,Tên tài sản,
Assigning Structures...,Phân công cấu trúc ...,
Attachments,File đính kèm,
Attendance,Tham gia,
Attendance Date,Ngày có mặt,
Attendance From Date,Có mặt Từ ngày,
Attendance From Date and Attendance To Date is mandatory,"""Có mặt từ ngày"" tham gia và ""có mặt đến ngày"" là bắt buộc",
Attendance Marked,Tham dự đánh dấu,
Attendance Request,Yêu cầu tham dự,
Attendance To Date,Có mặt đến ngày,
Attendance for employee {0} is already marked for this day,Attendance cho nhân viên {0} đã được đánh dấu ngày này,
Attendance has been marked as per employee check-ins,Tham dự đã được đánh dấu theo đăng ký nhân viên,
Attendance not submitted for {0} as it is a Holiday.,Tham dự không được gửi cho {0} vì đây là Ngày lễ.,
Attendance will be marked automatically only after this date.,Tham dự sẽ được đánh dấu tự động chỉ sau ngày này.,
Attendees,Những người tham dự,
Aug,Tháng 8,
Auto Attendance Settings,Cài đặt tham dự tự động,
Auto Leave Encashment,Tự động rời khỏi Encashment,
Available Leaves,Lá có sẵn,
Awaiting Response,Đang chờ Response,
Bank,ngân hàng,
Bank Account,Tài khoản ngân hàng,
Bank Account No,Số Tài khoản Ngân hàng,
Bank Details,Thông tin chi tiết ngân hàng,
Bank Entries,Bút toán Ngân hàng,
Bank Name,Tên ngân hàng,
Bank Remittance,Chuyển tiền qua ngân hàng,
Base,Cơ sở,
Begin On (Days),Bắt đầu (ngày),
Begin check-in before shift start time (in minutes),Bắt đầu nhận phòng trước thời gian bắt đầu ca (tính bằng phút),
Beginner,Người bắt đầu,
Benefit,Lợi ích,
Bimonthly,hai tháng một lần,
Birthday Reminder,Lời nhắc sinh nhật,
Block Date,Khối kỳ hạn,
Block Days,Khối ngày,
Block Holidays on important days.,Khối ngày nghỉ vào những ngày quan trọng,
Blue,Màu xanh da trời,
Body,Thân hình,
Bonus Amount,Số tiền thưởng,
Bonus Payment Date,Ngày thanh toán thưởng,
Bonus Payment Date cannot be a past date,Ngày thanh toán thưởng không thể là ngày qua,
Branch,Chi nhánh,
Calculate Payroll Working Days Based On,Tính toán ngày làm việc trả lương dựa trên,
Calculated in days,Tính theo ngày,
Calls,Các cuộc gọi,
Campaign,Chiến dịch,
Cancel,Hủy bỏ,
Cancelled,HỦY BỎ,
Cannot find active Leave Period,Không thể tìm thấy Khoảng thời gian rời khỏi hoạt động,
Carry Forward,Carry Forward,
Carry Forwarded Leaves,Mang lá chuyển tiếp,
Casual Leave,Nghỉ phép năm,
Change,Thay đổi,
Check Vacancies On Job Offer Creation,Kiểm tra vị trí tuyển dụng khi tạo việc làm,
Check-in Date,Ngày nhận phòng,
Check-out Date,Ngày trả phòng,
Claim Benefit For,Yêu cầu quyền lợi cho,
Claim Date,Ngày yêu cầu,
Claimed,Đã yêu cầu,
Claimed Amount,Số Tiền Yêu Cầu,
Clearance Date,Ngày chốt sổ,
Close,Đóng,
Closed,Đã đóng,
Closing Balance,Số dư cuối kỳ,
Closing Notes,Ghi chú kết thúc,
Collapse All,Thu gọn tất cả,
Color,Màu,
Comments,Thẻ chú thích,
Commission,Hoa hồng bán hàng,
Company,Công ty,
Compensatory Leave Request,Yêu cầu để lại đền bù,
Compensatory Off,Nghỉ làm bù,
Completed,Hoàn thành,
Component,Hợp phần,
Component properties and references ,Thuộc tính thành phần và tham chiếu,
Condition,Điều kiện,
Condition and formula,Điều kiện và công thức,
Conditions,Điều kiện,
Conditions and Formula variable and example,Điều kiện và biến công thức và ví dụ,
Conference,Hội nghị,
Consider Unmarked Attendance As,Xem xét việc tham dự không được đánh dấu là,
Contact Email,Email Liên hệ,
Contact No.,Mã số Liên hệ,
Contact Number,Số Liên hệ,
Continue,Tiếp tục,
Contract,Hợp đồng,
Copy of Invitation/Announcement,Bản sao Lời mời / Thông báo,
Cost,Giá cả,
Cost Center,Bộ phận chi phí,
Cost Centers,Bộ phận chi phí,
Costing,Chi phí,
Costing Details,Chi tiết Chi phí,
Country,Tại,
Course,Khóa học,
Cover Letter,Thư xin việc,
Create,Tạo,
Create Employee,Tạo nhân viên,
Create Journal Entry,Tạo Nhật ký,
Create New Employee Id,Tạo Id Nhân viên Mới,
Create Payment Entry,Tạo mục thanh toán,
Create Salary Slip,Tạo Mức lương trượt,
Create Salary Slips,Tạo phiếu lương,
Create Separate Payment Entry Against Benefit Claim,Tạo khoản thanh toán riêng biệt chống lại khiếu nại lợi ích,
Creating Payment Entries......,Đang tạo mục thanh toán ......,
Creating Salary Slips...,Đang tạo phiếu lương ...,
Creation Date,Ngày Khởi tạo,
Criteria,Tiêu chí,
Currency,Tiền tệ,
Current,Hiện hành,
Current Count,Số hiện tại,
Current Odometer Value should be greater than Last Odometer Value {0},Giá trị Công tơ mét hiện tại phải lớn hơn Giá trị Công tơ mét cuối cùng {0},
Current Odometer value ,Giá trị đo đường hiện tại,
Current Openings,Mở hiện tại,
Customer,Khách Hàng,
Daily,Hàng ngày,
Daily Work Summary,Tóm tắt công việc hàng ngày,
Daily Work Summary Group,Nhóm làm việc hằng ngày,
Daily Work Summary Group User,Người sử dụng Nhóm Tóm lược công việc hàng ngày,
Daily Work Summary Replies,Tóm tắt công việc hàng ngày,
Dashboard,bảng điều khiển,
Date,Ngày,
Date Range,Phạm vi ngày,
Date is repeated,Ngày lặp lại,
Date of Birth,Ngày sinh,
Date of Joining,ngày gia nhập,
Days for which Holidays are blocked for this department.,Ngày mà bộ phận này có những ngày lễ bị chặn,
Debit A/C Number,Số nợ A / C,
Dec,Tháng mười hai,
Declarations,Tuyên bố,
Declared Amount,Số tiền khai báo,
Deduct Full Tax on Selected Payroll Date,Khấu trừ thuế đầy đủ vào ngày biên chế được chọn,
Deduct Tax For Unclaimed Employee Benefits,Thuế khấu trừ cho các quyền lợi của nhân viên chưa được xác nhận quyền sở hữu,
Deduct Tax For Unsubmitted Tax Exemption Proof,Khấu trừ thuế đối với chứng từ miễn thuế chưa nộp,
Deduction,Khấu trừ,
Deductions,Các khoản giảm trừ,
Default Account,Tài khoản mặc định,
Default Amount,Số tiền mặc định,
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Mặc định tài khoản Ngân hàng / Tiền sẽ được tự động cập nhật trong Salary Journal Entry khi chế độ này được chọn.,
Default Employee Advance Account,Tài khoản Advance Employee mặc định,
Default Expense Claim Payable Account,Xác nhận khoản chi phí mặc định,
Default Payroll Payable Account,Mặc định lương Account Payable,
Default Salary Structure,Cơ cấu lương mặc định,
Default Shift,Shift mặc định,
Deferred Expense Account,Tài khoản chi trả hoãn lại,
Delete,Xóa,
Delivery Trip,Giao hàng tận nơi,
Department,Cục,
Department Approver,Bộ phê duyệt,
Departure Datetime,Thời gian khởi hành,
Depends on Payment Days,Phụ thuộc vào ngày thanh toán,
Description,Mô tả,
Description of a Job Opening,Mô tả công việc một Opening,
Designation,Chỉ định,
Designation Skill,Kỹ năng chỉ định,
Details,Chi tiết,
"Details of Sponsor (Name, Location)","Thông tin chi tiết của nhà tài trợ (Tên, địa điểm)",
Determine Check-in and Check-out,Xác định nhận phòng và trả phòng,
Disable,Vô hiệu hóa,
Disable Rounded Total,Vô hiệu hóa Tròn Tổng số,
Disabled,Đã vô hiệu hóa,
Dispensed Amount (Pro-rated),Số tiền được phân phối (Được xếp hạng theo tỷ lệ),
Do Not Include in Total,Không bao gồm trong tổng số,
Do not include in total,Không bao gồm trong tổng số,
Document Status,Trạng thái bản ghi,
Domestic,Trong nước,
Download PDF,Tải về PDF,
Download Template,Tải mẫu,
Draft,Bản nháp,
Duplicate Entry,Mục nhập trùng lặp,
Duration (Days),Thời gian (Ngày),
Early Exit,Xuất cảnh sớm,
Early Exit Grace Period,Thời gian xuất cảnh sớm,
Earned Leave,Nghỉ phép,
Earned Leave Frequency,Tần suất rời đi,
Earning,Thu nhập,
Earning Component,Thành phần kiếm tiền,
Earnings,Thu nhập,
Edit,Chỉnh sửa,
Effective from,Có hiệu lực từ,
Email,E-mail,
Email Address,Địa chỉ email,
Email ID,ID email,
Email Salary Slip to Employee,Gửi mail bảng lương tới nhân viên,
Email Sent To,Thư điện tử được gửi đến,
Email Template,Mẫu email,
Email sent to {0},Email đã gửi tới {0},
Emails salary slip to employee based on preferred email selected in Employee,trượt email lương cho nhân viên dựa trên email ưa thích lựa chọn trong nhân viên,
Employee,Nhân viên,
Employee A/C Number,Số nhân viên A / C,
Employee Advance,Advance Employee,
Employee Advance Summary,Tóm lược trước nhân viên,
Employee Advances,Tiến bộ nhân viên,
Employee Attendance Tool,Nhân viên Công cụ Attendance,
Employee Benefit Application,Đơn xin hưởng quyền lợi cho nhân viên,
Employee Benefit Application Detail,Chi tiết ứng dụng lợi ích nhân viên,
Employee Benefit Claim,Khiếu nại về Quyền lợi Nhân viên,
Employee Benefits,Lợi ích của nhân viên,
Employee Boarding Activity,Hoạt động lên máy bay nhân viên,
Employee Checkin,Đăng ký nhân viên,
Employee Details,Chi tiết nhân viên,
Employee Emails,Email của nhân viên,
Employee Grade,Nhân viên hạng,
Employee Health Insurance,Bảo hiểm sức khỏe nhân viên,
Employee Incentive,Khuyến khích nhân viên,
Employee Loan,nhân viên vay,
Employee Name,Tên nhân viên,
Employee Number,Số nhân viên,
Employee Onboarding,Giới thiệu nhân viên,
Employee Onboarding Template,Mẫu giới thiệu nhân viên,
Employee Other Income,Thu nhập khác của nhân viên,
Employee Promotion,Khuyến mãi nhân viên,
Employee Promotion Details,Chi tiết quảng cáo nhân viên,
Employee Property History,Lịch sử tài sản của nhân viên,
Employee Referral,Nhân viên giới thiệu,
Employee Separation,Tách nhân viên,
Employee Separation Template,Mẫu tách nhân viên,
Employee Settings,Thiết lập nhân viên,
Employee Skill,Kỹ năng nhân viên,
Employee Skill Map,Bản đồ kỹ năng nhân viên,
Employee Skills,Kỹ năng nhân viên,
Employee Tax Exemption Category,Danh mục miễn thuế của nhân viên,
