"""Customer Provided Item"" cannot be Purchase Item also",&quot;Mục khách hàng cung cấp&quot; cũng không thể là mục Mua hàng,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Mục khách hàng cung cấp&quot; không thể có Tỷ lệ định giá,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Là Tài Sản Cố Định"" không thể bỏ đánh dấu, vì bản ghi Tài Sản tồn tại đối nghịch với vật liệu",
"""SN-01::10"" for ""SN-01"" to ""SN-10""","Chart Of Accounts,Hệ thống tài khoản",
# In Stock,"Bank Account,Tài khoản ngân hàng",
# Req'd Items,"Balance Sheet,Bảng cân đối kế toán",
%  Delivered,% Đã giao,
% Amount Billed,% Số tiền đã ghi hóa đơn,
% Billed,% Hóa đơn đã lập,
% Complete Method,% Phương pháp hoàn chỉnh,
% Completed,% Hoàn thành,
% Finished Item Quantity,"General Ledger,Sổ cái",
% Installed,% Đã cài,
% Occupied,"Customer,Khách hàng",
% Of Grand Total,Tổng số%,
% Ordered,% đã đặt,
% Picked,"Supplier,Nhà cung cấp",
% Process Loss,"Item,Hàng hóa",
% Progress,% đang xử lý,
% Received,% đã nhận,
% Returned,"Price List,Bảng giá",
% of materials billed against this Sales Order,% của NVL đã có hoá đơn gắn với đơn đặt hàng này,
% of materials delivered against this Sales Order,% của nguyên vật liệu đã được giao gắn với đơn đặt hàng này,
'Account' in the Accounting section of Customer {0},"Purchase Taxes and Charges,Mục thuế mua hàng",
'Allow Multiple Sales Orders Against a Customer's Purchase Order',"Selling,Bán hàng",
'Based On' and 'Group By' can not be same,'Dựa Trên' và 'Nhóm Bởi' không thể giống nhau,
'Date' is required,&#39;Ngày&#39; là bắt buộc,
'Days Since Last Order' must be greater than or equal to zero,"""Số ngày từ lần đặt hàng gần nhất"" phải lớn hơn hoặc bằng 0",
'Default {0} Account' in Company {1},"Sales Order,Đơn hàng bán",
'Entries' cannot be empty,"""Bút toán"" không thể để trống",
'From Date' is required,"""Từ ngày"" là bắt buộc",
'From Date' must be after 'To Date','Từ Ngày' phải sau 'Đến Ngày',
'Has Serial No' can not be 'Yes' for non-stock item,'Có chuỗi số' không thể là 'Có' cho vật liệu không lưu kho,
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","Buying,Mua hàng",
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","Purchase Order,Đơn hàng mua",
'Opening','Đang mở',
'To Date' is required,"""Tới ngày"" là bắt buột",
'To Package No.' cannot be less than 'From Package No.',"Purchase Receipt,Phiếu nhập hàng",
